LOCATION,PCT_FB,PCT_POP_EU,PCT_POP_AS,PCT_POP_AF,PCT_POP_OC,PCT_POP_LA,PCT_POP_NA,PCT_FB_EU,PCT_FB_AS,PCT_FB_AF,PCT_FB_OC,PCT_FB_LA,PCT_FB_NA
"Census Tract 2, Champaign County, Illinois",19.03,0.34,13.2,2.01,0,3.47,0,1.8,69.36,10.58,0,18.24,0
"Census Tract 3.01, Champaign County, Illinois",27.85,2.37,24.9,0.25,0,0.32,0,8.51,89.38,0.92,0,1.17,0
"Census Tract 3.02, Champaign County, Illinois",40.94,1.13,37.76,0,0,2.04,0,2.78,92.22,0,0,4.99,0
"Census Tract 4.01, Champaign County, Illinois",12.67,0.46,11.26,0.16,0.18,0.6,0,3.63,88.92,1.26,1.42,4.74,0
"Census Tract 4.02, Champaign County, Illinois",21.59,0.39,20.05,0.64,0,0.44,0.05,1.82,92.83,2.99,0,2.08,0.26
"Census Tract 5, Champaign County, Illinois",8.16,1.01,4.03,1.27,1.22,0.61,0,12.45,49.46,15.65,14.94,7.47,0
"Census Tract 7, Champaign County, Illinois",10.55,0,1.74,0.72,0,8.08,0,0,16.5,6.89,0,76.6,0
"Census Tract 8, Champaign County, Illinois",22.2,0,14.52,5.37,0,2.11,0.19,0,65.38,24.21,0,9.5,0.88
"Census Tract 9.01, Champaign County, Illinois",11.45,0,0.27,5.92,0,5.25,0,0,2.42,51.67,0,45.89,0
"Census Tract 9.02, Champaign County, Illinois",17.5,0.24,8.56,7.62,0,1.07,0,1.39,48.91,43.54,0,6.14,0
"Census Tract 10, Champaign County, Illinois",6.15,4.19,0.29,0,0,1.11,0.55,68.11,4.71,0,0,18.11,9.05
"Census Tract 11, Champaign County, Illinois",12.31,6.06,2.42,1.1,0,1.96,0.75,49.23,19.69,8.97,0,15.97,6.12
"Census Tract 12.01, Champaign County, Illinois",15.08,0.25,9.38,3.62,0,1.82,0,1.7,62.19,24,0,12.09,0
"Census Tract 12.03, Champaign County, Illinois",6.28,0.7,3.21,0.63,0,1.74,0,11.15,51.07,10.07,0,27.69,0
"Census Tract 12.04, Champaign County, Illinois",22.59,2.66,16.26,3.04,0,0.48,0.13,11.79,71.99,13.46,0,2.14,0.59
"Census Tract 12.05, Champaign County, Illinois",20.14,0,17.66,2.27,0,0.2,0,0,87.66,11.29,0,1.03,0
"Census Tract 12.06, Champaign County, Illinois",6.91,2.28,2.13,0.4,0,2.08,0,33.08,30.88,5.88,0,30.14,0
"Census Tract 13.01, Champaign County, Illinois",14.2,2.37,6.05,0,0,4.43,1.33,16.7,42.61,0,0,31.25,9.43
"Census Tract 13.02, Champaign County, Illinois",8.91,0.27,7.79,0,0,0.54,0.29,3.07,87.43,0,0,6.15,3.33
"Census Tract 14, Champaign County, Illinois",19.59,1.33,10.77,2.52,0,2.54,2.41,6.81,55,12.89,0,12.97,12.3
"Census Tract 53, Champaign County, Illinois",27.4,0.43,21.69,4.14,0,1.12,0,1.57,79.17,15.13,0,4.11,0
"Census Tract 54.01, Champaign County, Illinois",5.74,0,2.32,2.07,0,1.34,0,0,40.42,36.17,0,23.4,0
"Census Tract 54.02, Champaign County, Illinois",14.07,0.24,6.34,1.36,0,6.11,0,1.76,45.05,9.71,0,43.46,0
"Census Tract 55, Champaign County, Illinois",8.37,1.79,3.89,0,0,2.67,0,21.48,46.54,0,0,31.96,0
"Census Tract 56, Champaign County, Illinois",13.25,0.72,10.88,0.36,0,1.28,0,5.46,82.09,2.73,0,9.7,0
"Census Tract 57.01, Champaign County, Illinois",19.31,3.22,6.99,4.77,0,3.47,0.84,16.7,36.18,24.73,0,17.98,4.38
"Census Tract 57.02, Champaign County, Illinois",5.53,1.48,3.56,0.47,0,0,0,26.88,64.51,8.6,0,0,0
"Census Tract 58, Champaign County, Illinois",18.5,5.87,7.29,0,1.08,2.85,1.38,31.76,39.41,0,5.88,15.44,7.5
"Census Tract 59, Champaign County, Illinois",19.84,1.38,15.13,0.4,0,2.48,0.43,6.99,76.26,2.02,0,12.51,2.2
"Census Tract 60, Champaign County, Illinois",24.46,0.93,15.77,2.65,0.3,4.79,0,3.82,64.48,10.85,1.23,19.6,0
"Census Tract 101, Champaign County, Illinois",5,1.06,2.06,0,0,1.87,0,21.32,41.23,0,0,37.44,0
"Census Tract 102.04, Champaign County, Illinois",9.49,0.74,0.39,0.51,0,7.85,0,7.79,4.11,5.41,0,82.68,0
"Census Tract 103, Champaign County, Illinois",1.39,0.18,0.26,0,0,0.94,0,13.46,19.23,0,0,67.3,0
"Census Tract 104, Champaign County, Illinois",1.54,1.18,0.09,0.15,0.04,0.06,0,76.47,5.88,10.29,2.94,4.41,0
"Census Tract 105, Champaign County, Illinois",1.41,1.23,0.11,0,0,0,0.06,86.88,8.19,0,0,0,4.91
"Census Tract 106.01, Champaign County, Illinois",2.79,0.53,0.26,0.26,0,1.53,0.2,18.99,9.49,9.49,0,54.74,7.26
"Census Tract 106.03, Champaign County, Illinois",2.91,0.93,0.33,0,0,1.65,0,31.9,11.42,0,0,56.66,0
"Census Tract 106.04, Champaign County, Illinois",2.43,0.65,1.19,0,0,0.3,0.27,26.98,49.2,0,0,12.69,11.11
"Census Tract 107, Champaign County, Illinois",2.5,0.27,1.87,0,0,0.35,0,11.05,74.87,0,0,14.07,0
"Census Tract 108, Champaign County, Illinois",0.62,0.09,0.18,0.18,0,0.16,0,14.81,29.62,29.62,0,25.92,0
"Census Tract 109, Champaign County, Illinois",1.15,0.02,1.08,0,0.01,0.01,0,2.58,93.96,0,1.72,1.72,0
"Census Tract 110, Champaign County, Illinois",10.58,0.75,6.63,0.8,0,2.05,0.33,7.12,62.65,7.61,0,19.41,3.19
"Census Tract 111, Champaign County, Illinois",28.64,0.78,25.62,0.53,0,1.36,0.34,2.72,89.43,1.87,0,4.77,1.19
