LOCATION,UNEMPL,PCT_DEPEND,PCT_NO_HS,PER_CAPITA_INCOME,PCT_CROWDED,PCT_POVERTY,UNEMPL_NORM,PCT_DEPEND_NORM,PCT_NO_HS_NORM,PER_CAPITA_NORM,PCT_CROWDED_NORM,PCT_POVERTY_NORM,HARDSHIP
"Census Tract 2, Champaign County, Illinois",4.9,33.43,11.73,13013,1.19,39,52.12765957,60.96207216,45.80242093,17.07391466,8.974358974,42.32922732,37.8782756
"Census Tract 3.01, Champaign County, Illinois",2.8,1.1,6.18,7280,5.5,81.5,29.78723404,1.147086031,24.13119875,7.359270682,41.47812971,89.92161254,32.30408863
"Census Tract 3.02, Champaign County, Illinois",2,0.86,4.23,15430,2.23,63.5,21.27659574,0.703052729,16.51698555,21.16955299,16.81749623,69.76483763,24.37475348
"Census Tract 4.01, Champaign County, Illinois",2,0.76,0,2937,13.26,90.5,21.27659574,0.518038853,0,0,100,100,36.96577243
"Census Tract 4.02, Champaign County, Illinois",2,0.48,0,5779,6.58,89.1,21.27659574,0,0,4.815806419,49.62292609,98.43225084,29.02459652
"Census Tract 5, Champaign County, Illinois",1.8,26.97,0.64,56472,0,16.7,19.14893617,49.01017576,2.499023819,90.71576236,0,17.35722284,29.78852016
"Census Tract 7, Champaign County, Illinois",9.4,37.14,25.61,19033,2.73,30.2,100,67.82608696,100,27.27488393,20.58823529,32.47480403,58.02733503
"Census Tract 8, Champaign County, Illinois",3.7,29.63,5.84,35926,0.48,12.7,39.36170213,53.93154487,22.80359235,55.90029485,3.619909502,12.87793953,31.41583054
"Census Tract 9.01, Champaign County, Illinois",7.3,36.65,12.39,18518,4.5,27.1,77.65957447,66.91951896,48.37953924,26.40220965,33.93665158,29.00335946,47.05014223
"Census Tract 9.02, Champaign County, Illinois",4.4,36.64,7.62,33810,2.63,8.6,46.80851064,66.90101758,29.75400234,52.31470499,19.83408748,8.286674132,37.31649953
"Census Tract 10, Champaign County, Illinois",2.4,29.09,0.69,43882,0,12.5,25.53191489,52.93246994,2.694260055,69.3818416,0,12.65397536,27.19907697
"Census Tract 11, Champaign County, Illinois",0.5,42.21,1.9,49684,0,4.7,5.319148936,77.20629047,7.418976962,79.21340699,0,3.9193729,28.84619938
"Census Tract 12.01, Champaign County, Illinois",5.6,38.69,6.83,27208,3.39,15.1,59.57446809,70.69380204,26.66926982,41.12752906,25.56561086,15.56550952,39.86603156
"Census Tract 12.03, Champaign County, Illinois",2.1,37.06,3.82,43299,0,3.2,22.34042553,67.67807586,14.91604842,68.39394042,0,2.239641657,29.26135531
"Census Tract 12.04, Champaign County, Illinois",1.2,46.49,2.2,58934,0,1.7,12.76595745,85.12488437,8.590394377,94.88765378,0,0.559910414,33.65480006
"Census Tract 12.05, Champaign County, Illinois",2,38.19,8.08,52987,1.93,10.5,21.27659574,69.76873265,31.55017571,84.81038398,14.55505279,10.41433371,38.72921243
"Census Tract 12.06, Champaign County, Illinois",0.9,49.64,1.64,61951,0,5.1,9.574468085,90.95282146,6.403748536,100,0,4.367301232,35.21638989
"Census Tract 13.01, Champaign County, Illinois",3.1,44.21,1.47,36693,1.44,9,32.9787234,80.90656799,5.739945334,57.19998644,10.85972851,8.734602464,32.73659236
"Census Tract 13.02, Champaign County, Illinois",2,54.53,3.65,61848,1.33,4.2,21.27659574,100,14.25224522,99.82546514,10.03016591,3.359462486,41.45732242
"Census Tract 14, Champaign County, Illinois",0.7,24.43,4.24,21986,2.08,15.7,7.446808511,44.31082331,16.5560328,32.27878131,15.68627451,16.23740202,22.08602041
"Census Tract 53, Champaign County, Illinois",5.8,14.58,8.54,13843,1.15,47.2,61.70212766,26.08695652,33.34634908,18.48036059,8.672699849,51.51175812,33.30004197
"Census Tract 54.01, Champaign County, Illinois",4.4,34.05,5.6,24595,6.12,22.5,46.80851064,62.10915819,21.86645841,36.69976616,46.15384615,23.85218365,39.58165387
"Census Tract 54.02, Champaign County, Illinois",5.6,34.95,17.46,27064,1.52,19.1,59.57446809,63.77428307,68.17649356,40.88351916,11.46304676,20.04479283,43.98610058
"Census Tract 55, Champaign County, Illinois",1.3,30.01,9.97,40612,0.19,12.2,13.82978723,54.63459759,38.93010543,63.84078354,1.432880845,12.31802912,30.83103063
"Census Tract 56, Champaign County, Illinois",5.2,35.6,3.02,32679,3.96,13.11,55.31914894,64.97687327,11.79226865,50.39821059,29.86425339,13.33706607,37.61463682
"Census Tract 57.01, Champaign County, Illinois",6.1,43.02,2.4,33417,4.05,17.2,64.89361702,78.70490287,9.371339321,51.64876131,30.54298643,17.91713326,42.17979003
"Census Tract 57.02, Champaign County, Illinois",0,53.72,1,55183,0,5.1,0,98.5013876,3.904724717,88.53153489,0,4.367301232,32.55082474
"Census Tract 58, Champaign County, Illinois",2.3,23.46,1.48,42396,1.1,30.8,24.46808511,42.51618871,5.778992581,66.86379503,8.295625943,33.14669653,30.17823065
"Census Tract 59, Champaign County, Illinois",1.2,1.39,10.62,6417,5.97,67.86,12.76595745,1.683626272,41.46817649,5.896905819,45.02262443,74.64725644,30.24742448
"Census Tract 60, Champaign County, Illinois",1.5,7.84,0,8948,3.58,34.6,15.95744681,13.61702128,0,10.18571864,26.9984917,37.40201568,17.36011569
"Census Tract 101, Champaign County, Illinois",0.6,38.86,15.35,23670,0,8.7,6.382978723,71.00832562,59.9375244,35.13234148,0,8.398656215,30.14330441
"Census Tract 102.04, Champaign County, Illinois",4.2,37.31,10.15,25352,0,21,44.68085106,68.14061055,39.63295588,37.98251262,0,22.17245241,35.43489709
"Census Tract 103, Champaign County, Illinois",5.3,47.54,6.16,15923,0.83,29.6,56.38297872,87.06753006,24.05310426,22.00494798,6.259426848,31.80291153,37.92848323
"Census Tract 104, Champaign County, Illinois",2.8,41.4,4.55,37872,0.17,6.6,29.78723404,75.70767808,17.76649746,59.19781747,1.282051282,6.047032475,31.63138513
"Census Tract 105, Champaign County, Illinois",1.3,40.96,2.86,47320,0,3.7,13.82978723,74.89361702,11.16751269,75.20757786,0,2.799552072,29.64967448
"Census Tract 106.01, Champaign County, Illinois",1.3,42.83,0.43,38985,3.19,1.2,13.82978723,78.3533765,1.679031628,61.08381062,24.05731523,0,29.83388687
"Census Tract 106.03, Champaign County, Illinois",1.7,42.12,1.17,41934,0,5.2,18.08510638,77.03977798,4.568527919,66.08092995,0,4.479283315,28.37560426
"Census Tract 106.04, Champaign County, Illinois",2,36.87,5.39,45672,0,5.4,21.27659574,67.32654949,21.04646622,72.41502016,0,4.70324748,31.12797985
"Census Tract 107, Champaign County, Illinois",3.3,41.14,1.02,38679,0,6.74,35.10638298,75.226642,3.982819211,60.56528959,0,6.203807391,30.18082353
"Census Tract 108, Champaign County, Illinois",2,42.97,4.09,45119,0.54,7.3,21.27659574,78.61239593,15.97032409,71.47795438,4.07239819,6.830907055,33.0400959
"Census Tract 109, Champaign County, Illinois",4.4,33.19,2.67,36250,0.66,8.24,46.80851064,60.51803885,10.42561499,56.44931711,4.977375566,7.883538634,31.17706597
"Census Tract 110, Champaign County, Illinois",3.8,16.87,1.86,55270,0.7,10.65,40.42553191,30.32377428,7.262787973,88.67895754,5.279034691,10.58230683,30.42539887
"Census Tract 111, Champaign County, Illinois",4.2,2.24,2.75,17317,0,52.6,44.68085106,3.256244218,10.73799297,24.36709933,0,57.55879059,23.43349636
